Sample,Mean_vel,Min_vel,Max_vel,Screen_time_off_percent,Sex
02765,0.0084,0.0,0.0714,96.83,0
02772,0.0288,0.0,0.1447,94.6461,0
02773,0.0091,0.0,0.0591,96.1486,0
02774,0.0072,0.0,0.1003,97.555,0
02776,0.0063,0.0,0.0515,96.1569,0
02780,0.008,0.0,0.0876,98.7768,1
02781,0.0063,0.0,0.0813,99.1393,0
02785,0.0107,0.0,0.0739,96.3713,0
02797,0.0228,0.0,0.1043,99.7899,1
02805,0.0123,0.0,0.2065,100.0,1
02818,0.0221,0.0,0.154,99.8523,1
02819,0.0114,0.0,0.0845,96.2413,0
02827,0.0091,0.0,0.0528,92.2605,1
02829,0.0103,0.0,0.1454,99.3821,0
02832,0.0041,0.0,0.0334,97.2667,1
02833,0.0061,0.0,0.0469,95.7891,1
02837,0.0073,0.0,0.0812,98.2104,0
02840,0.0062,0.0,0.0443,93.713,0
02841,0.0228,0.0,0.1362,99.0821,0
02843,0.0101,0.0,0.0602,93.6943,0
02846,0.0062,0.0,0.0486,96.3593,1
00002,0.141,0.0,0.7396,97.9798,1
00003,0.1079,0.0,0.4456,100.0,1
00005,0.7668,0.0,1.9581,88.8889,0
00006,0.0642,0.0,0.4396,100.0,0
00010,0.0024,0.0,0.0219,99.1267,1
00024,0.0927,0.0,0.4814,100.0,1
00028,0.0094,0.0,0.0605,99.1397,1
00033,0.0088,0.0,0.067,98.7087,0
00034,0.0128,0.0,0.0816,100.0,1
00087,0.1237,0.0,0.5569,100.0,1
00089,0.3351,0.0,1.5435,100.0,1
00097,0.0407,0.0,0.1878,98.5175,0
00098,0.0108,0.0,0.1156,99.8624,1
00099,0.0068,0.0,0.0751,96.6461,0
00102,0.0219,0.0,0.1019,99.7854,0
00103,0.0538,0.0,0.2569,100.0,0
00104,0.0058,0.0,0.0638,97.269,0
00110,0.016,0.0,0.1344,99.1892,1
00114,0.0007,0.0,0.1363,99.9436,1
00117,0.0047,0.0,0.0289,99.8227,0
00120,0.0089,0.0,0.0651,98.272,1
00121,0.0045,0.0,0.0416,98.4081,1
00122,0.0099,0.0,0.0964,95.9438,0
00123,0.0061,0.0,0.0443,99.8532,1
00124,0.0066,0.0,0.0432,99.7013,0
00126,0.0048,0.0,0.0535,99.2089,0
00127,0.0243,0.0,0.2015,99.4614,0
00128,0.0063,0.0,0.0709,99.7723,0
00130,0.0055,0.0,0.0443,98.1551,1
00132,0.0154,0.0,0.1094,99.7934,1
00133,0.0029,0.0,0.0751,99.8624,1
00135,0.0026,0.0,0.039,98.88,0
00137,0.0083,0.0,0.0542,98.3252,1
00138,0.0087,0.0,0.0699,98.7101,0
00139,0.0058,0.0,0.072,99.1367,1
00140,0.014,0.0,0.1323,100.0,0
00141,0.0056,0.0,0.0349,99.362,1
00142,0.006,0.0,0.0484,99.7504,0
00143,0.0134,0.0,0.0897,98.2345,0
00144,0.0202,0.0,0.1255,99.8551,0
00145,0.0076,0.0,0.0815,98.4568,1
00146,0.0134,0.0,0.0983,99.5569,0
00148,0.0078,0.0,0.1176,99.8125,0
00149,0.003,0.0,0.088,99.861,1
00150,0.0054,0.0,0.0701,95.7596,0
00153,0.008,0.0,0.0632,92.8052,0
00154,0.0063,0.0,0.0619,99.7776,0
00156,0.0046,0.0,0.0471,99.8863,1
00162,0.0184,0.0,0.0806,99.6741,1
00164,0.0051,0.0,0.0647,99.5303,0
00165,0.0213,0.0,0.12,99.6269,0
00173,0.0208,0.0,0.1536,99.6329,0
00178,0.0124,0.0,0.0883,100.0,1
00179,0.0072,0.0,0.0452,99.9651,0
00190,0.0232,0.0,0.3553,99.9186,0
00191,0.0137,0.0,0.0875,99.9332,1
00192,0.005,0.0,0.0401,99.9661,0
00194,0.0045,0.0,0.0638,94.9042,1
00198,0.0046,0.0,0.0381,99.9261,1
00200,0.0134,0.0,0.0996,84.2893,1
00202,0.0098,0.0,0.0577,99.5902,0
00207,0.0095,0.0,0.0531,99.7553,0
00208,0.0036,0.0,0.0782,99.8631,0
00209,0.0082,0.0,0.0581,99.0489,0
00210,0.0068,0.0,0.0825,99.9214,1
00211,0.0098,0.0,0.0909,98.0798,0
00212,0.0118,0.0,0.0572,99.9336,0
00213,0.0078,0.0,0.0837,99.6288,1
00214,0.0227,0.0,0.2117,99.859,0
00218,0.0263,0.0,0.1585,99.6497,0
00220,0.0202,0.0,0.1815,99.5042,1
00221,0.0079,0.0,0.0736,97.7821,1
00222,0.0047,0.0,0.0557,98.873,0
00224,0.0197,0.0,0.111,99.7118,1
00225,0.0054,0.0,0.086,96.9925,1
00226,0.0179,0.0,0.076,99.9272,0
00227,0.008,0.0,0.122,98.8653,0
00228,0.0073,0.0,0.06,99.2958,1
00229,0.4713,0.0,1.6539,100.0,1
00232,0.0299,0.0,0.2119,99.5854,0
00233,0.0164,0.0,0.1422,100.0,0
00234,0.0378,0.0,0.227,100.0,0
00236,0.0058,0.0,0.0586,98.6799,1
00237,0.0069,0.0,0.0868,98.8938,1
00238,0.021,0.0,0.2141,99.0923,0
00239,0.0036,0.0,0.0349,98.415,1
00240,0.0064,0.0,0.0528,99.4811,0
00241,0.0126,0.0,0.0979,99.7185,0
00243,0.0913,0.0,0.5659,100.0,1
00245,0.025,0.0,0.1599,99.8239,1
00247,0.0028,0.0,0.0315,99.2854,1
00249,0.0063,0.0,0.0416,99.8965,1
00251,0.003,0.0,0.0324,99.7283,1
00252,0.0025,0.0,0.024,99.4048,0
00258,0.0717,0.0,0.3498,99.5146,1
00266,1.9225,0.2048,4.6808,100.0,0
00267,0.0086,0.0,0.0799,97.4635,0
00268,0.0051,0.0,0.063,97.06,0
00269,0.0036,0.0,0.0316,99.9157,1
00273,0.0035,0.0,0.0345,99.2195,0
00274,0.0077,0.0,0.062,96.2596,0
00285,0.0047,0.0,0.0532,96.1211,0
00288,0.0031,0.0,0.0368,98.5008,0
00289,0.1155,0.0,0.5226,100.0,0
